time,lat_site_1,lon_site_1,CHL_1,lat_site_2,lon_site_2,CHL_2,lat_site_3,lon_site_3,CHL_3,lat_site_4,lon_site_4,CHL_4
2013-03-03,6.104164,116.10417,0.5189717,6.0624976,116.10417,0.5289243,6.0208306,116.10417,0.5450519,6.0208306,116.06251,0.52440643
2013-03-04,6.104164,116.10417,0.5088542,6.0624976,116.10417,0.50441974,6.0208306,116.10417,0.50738275,6.0208306,116.06251,0.4979414
2013-03-05,6.104164,116.10417,1.4357635,6.0624976,116.10417,1.7620913,6.0208306,116.10417,2.161697,6.0208306,116.06251,1.7194049
2013-03-06,6.104164,116.10417,1.4357635,6.0624976,116.10417,1.7620913,6.0208306,116.10417,2.161697,6.0208306,116.06251,1.7194049
2013-03-07,6.104164,116.10417,1.0034477,6.0624976,116.10417,1.57604,6.0208306,116.10417,1.6100976,6.0208306,116.06251,1.5563022
2013-03-08,6.104164,116.10417,1.0672508,6.0624976,116.10417,1.6725328,6.0208306,116.10417,1.6418154,6.0208306,116.06251,1.4822159
2013-03-09,6.104164,116.10417,0.87806714,6.0624976,116.10417,1.0972488,6.0208306,116.10417,1.1231276,6.0208306,116.06251,1.0653119
2013-03-10,6.104164,116.10417,1.8379606,6.0624976,116.10417,9.406229,6.0208306,116.10417,9.310593,6.0208306,116.06251,5.98994
2013-03-11,6.104164,116.10417,0.40460902,6.0624976,116.10417,0.40504295,6.0208306,116.10417,0.43146434,6.0208306,116.06251,0.42236558
2013-03-12,6.104164,116.10417,0.4885115,6.0624976,116.10417,0.61763173,6.0208306,116.10417,0.44880095,6.0208306,116.06251,0.43853122
2013-03-13,6.104164,116.10417,0.21431434,6.0624976,116.10417,0.2465632,6.0208306,116.10417,0.24117498,6.0208306,116.06251,0.24004328
2013-03-14,6.104164,116.10417,0.27047506,6.0624976,116.10417,0.25767857,6.0208306,116.10417,0.24377501,6.0208306,116.06251,0.2399118
2013-03-15,6.104164,116.10417,0.36542976,6.0624976,116.10417,1.8893117,6.0208306,116.10417,2.218748,6.0208306,116.06251,1.45782
2013-03-16,6.104164,116.10417,1.1118966,6.0624976,116.10417,2.6272566,6.0208306,116.10417,3.5215611,6.0208306,116.06251,2.7233112
2013-03-17,6.104164,116.10417,1.6952504,6.0624976,116.10417,3.1003697,6.0208306,116.10417,6.6970267,6.0208306,116.06251,4.2400947
2013-03-18,6.104164,116.10417,0.41961592,6.0624976,116.10417,0.5090599,6.0208306,116.10417,0.53004557,6.0208306,116.06251,0.4842296
2013-03-19,6.104164,116.10417,0.82223433,6.0624976,116.10417,1.726778,6.0208306,116.10417,1.4945773,6.0208306,116.06251,1.2112969
2013-03-20,6.104164,116.10417,0.40459552,6.0624976,116.10417,0.434141,6.0208306,116.10417,0.44997832,6.0208306,116.06251,0.40341133
2013-03-21,6.104164,116.10417,0.34638643,6.0624976,116.10417,1.0874546,6.0208306,116.10417,2.7948403,6.0208306,116.06251,1.685362
2013-03-22,6.104164,116.10417,0.34638643,6.0624976,116.10417,1.0874546,6.0208306,116.10417,2.7948403,6.0208306,116.06251,1.685362
2013-03-23,6.104164,116.10417,0.40374115,6.0624976,116.10417,0.7428427,6.0208306,116.10417,1.3277483,6.0208306,116.06251,0.88070345
2013-03-24,6.104164,116.10417,0.558344,6.0624976,116.10417,1.5856069,6.0208306,116.10417,2.1651542,6.0208306,116.06251,1.5041441
